id,rubrika,datum,mesec,avtorji,st_besed,cos_podobnost_1,L_podobnost_1,zamik_objav_1[min],id_podobnih_1,cos_podobnost_2,L_podobnost_2,zamik_objav_2[min],id_podobnih_2,cos_podobnost_3,L_podobnost_3,zamik_objav_3[min],id_podobnih_3
65-S,svet,2023-06-23,202306,['STA'],378,0.825336,28,181.0,16893-R,0.534065,63,3033.0,5132-R,0.523607,74,3356.0,10612-R
66-S,avtomoto,2023-06-23,202306,,517,0.543635,79,3338.0,10612-R,0.541668,67,3376.0,21006-R,0.531392,61,241.0,10574-R
67-S,planet-tv,2023-06-23,202306,['E. R.'],259,0.593996,41,3359.0,21006-R,0.585194,61,205.0,16894-R,0.567931,43,1143.0,105-R
68-S,slovenija,2023-06-23,202306,"['K. M.', 'Planet TV', 'STA']",918,0.47768,70,251.0,16896-R,0.477139,64,2998.0,5132-R,0.473593,83,3321.0,10612-R
69-S,slovenija,2023-06-23,202306,['STA'],362,0.552735,69,1163.0,106-R,0.506461,65,493.0,103-R,0.502008,63,2996.0,5132-R
70-S,sportal,2023-06-23,202306,['STA'],215,0.563345,29,3347.0,21006-R,0.547442,49,212.0,10574-R,0.539419,39,437.0,10579-R
71-S,slovenija,2023-06-23,202306,['STA'],521,0.47449,57,925.0,104-R,0.439524,67,4502.0,155-R,0.435049,70,2982.0,139-R
72-S,sportal,2023-06-23,202306,['STA'],213,0.455559,51,202.0,10574-R,0.443778,53,3299.0,10612-R,0.443606,45,3337.0,21006-R
73-S,sportal,2023-06-23,202306,['Matej Podgoršek'],930,0.564682,64,315.0,101-R,0.560299,56,2584.0,10600-R,0.55738,42,344.0,10578-R
74-S,dom,2023-06-23,202306,,483,0.476944,50,2502.0,131-R,0.471385,44,228.0,16897-R,0.455742,42,189.0,16896-R
75-S,sportal,2023-06-23,202306,['Pe. M.'],370,0.257744,38,5582.0,10638-R,0.24136,72,3202.0,144-R,0.236014,44,4529.0,10629-R
76-S,slovenija,2023-06-23,202306,"['St. M.', 'STA']",470,0.414525,56,2618.0,133-R,0.369674,70,5542.0,21019-R,0.364738,61,3227.0,10612-R
77-S,trendi,2023-06-23,202306,['N. V.'],244,0.502256,43,3247.0,21006-R,0.496101,60,93.0,16894-R,0.46894,44,4658.0,10632-R
78-S,slovenija,2023-06-23,202306,"['K. M.', 'STA']",451,0.453264,49,2592.0,133-R,0.37225,60,820.0,104-R,0.33746,49,5428.0,163-R
79-S,sportal,2023-06-23,202306,['Pe. M.'],215,0.441559,43,3197.0,21006-R,0.42486,51,62.0,10574-R,0.417144,58,5649.0,10641-R
