id,rubrika,datum,mesec,avtorji,st_besed,cos_podobnost_1,L_podobnost_1,zamik_objav_1[min],id_podobnih_1,cos_podobnost_2,L_podobnost_2,zamik_objav_2[min],id_podobnih_2,cos_podobnost_3,L_podobnost_3,zamik_objav_3[min],id_podobnih_3
140-R,slovenija,2023-06-21,202306,['T. K. B.'],520,0.548598,79,3158.0,3779-S,0.547781,80,341.0,1956-S,0.541569,74,5637.0,5450-S
141-R,lokalne-novice,2023-06-21,202306,['T. K. B.'],239,0.40461,53,2569.0,3736-S,0.397486,60,282.0,1956-S,0.393393,55,3148.0,3784-S
142-R,slovenija,2023-06-21,202306,['Urška Sobočan Ivanovič'],532,0.548764,57,1454.0,2826-S,0.547686,58,1770.0,2850-S,0.534793,56,4324.0,4558-S
143-R,slovenija,2023-06-21,202306,['Al. Ma.'],993,0.614821,64,144.0,1956-S,0.599567,72,4945.0,5427-S,0.591107,64,3010.0,3784-S
144-R,okolje,2023-06-21,202306,['Al. Ma.'],1073,0.604812,70,109.0,1956-S,0.603173,70,1666.0,2850-S,0.594492,75,4696.0,4576-S
145-R,slovenija,2023-06-20,202306,['Al. Ma.'],312,0.954298,63,90.0,2770-S,0.582173,72,1348.0,3715-S,0.578516,70,3931.0,4575-S
146-R,zdravje,2023-06-20,202306,['Larisa Daugul'],1544,0.596964,62,5620.0,6312-S,0.594797,59,5617.0,6311-S,0.591982,53,3494.0,4558-S
147-R,slovenija,2023-06-20,202306,['STA'],505,0.60287,65,4526.0,5450-S,0.593501,65,5467.0,6312-S,0.584613,70,2047.0,3779-S
148-R,slovenija,2023-06-20,202306,['Al. Ma.'],661,0.599581,66,5390.0,6312-S,0.588364,63,2019.0,3784-S,0.583377,64,4449.0,5450-S
149-R,slovenija,2023-06-20,202306,['M. Z.'],526,0.589201,80,1002.0,3715-S,0.586854,77,3585.0,4575-S,0.575901,80,5650.0,6328-S
150-R,slovenija,2023-06-20,202306,['Al. Ma.'],389,0.510828,62,1889.0,3779-S,0.5039,58,4368.0,5450-S,0.49527,53,5306.0,6311-S
151-R,gospodarstvo,2023-06-20,202306,['G. C.'],460,0.883033,68,86.0,2812-S,0.475786,77,5275.0,6311-S,0.465417,77,1858.0,3779-S
152-R,crna-kronika,2023-06-20,202306,['G. C.'],743,0.67046,51,1835.0,3784-S,0.664013,49,5471.0,6328-S,0.657003,58,3406.0,4575-S
153-R,gospodarstvo,2023-06-20,202306,['T. K. B.'],237,0.443783,68,1375.0,3748-S,0.357771,74,3549.0,4576-S,0.353088,71,865.0,3718-S
154-R,slovenija,2023-06-20,202306,['G. C.'],172,0.366691,37,749.0,3715-S,0.337502,45,136.0,2826-S,0.336572,52,3332.0,4575-S
155-R,zdravje,2023-06-20,202306,['M. Z.'],595,0.486704,67,1742.0,3784-S,0.482592,70,4417.0,5463-S,0.479243,70,3678.0,5428-S
156-R,slovenija,2023-06-20,202306,"['G. C.', 'K. T.']",802,0.629993,73,5038.0,6312-S,0.616509,75,655.0,3715-S,0.610916,73,358.0,2850-S
157-R,slovenija,2023-06-20,202306,['Urška Sobočan Ivanovič'],395,0.544725,62,5011.0,6312-S,0.525878,53,331.0,2850-S,0.518071,60,628.0,3715-S
158-R,slovenija,2023-06-20,202306,['G. C.'],374,0.517463,71,4994.0,6312-S,0.487195,69,3558.0,5427-S,0.478449,68,4982.0,6309-S
159-R,gospodarstvo,2023-06-20,202306,['Al. Ma.'],729,0.582647,51,1328.0,3779-S,0.563746,54,68.0,2850-S,0.557519,66,5539.0,6379-S
160-R,slovenija,2023-06-19,202306,['A. S.'],187,0.335698,60,5025.0,6379-S,0.335603,46,1683.0,4534-S,0.333555,47,5314.0,6404-S
161-R,slovenija,2023-06-19,202306,"['Helena Ponudič', 'Rok Šuligoj', 'TV Slovenija']",401,0.522294,60,4969.0,6379-S,0.51288,56,4178.0,6312-S,0.504909,51,807.0,3784-S
162-R,slovenija,2023-06-19,202306,"['Tanja Gobec', 'TV Slovenija']",295,0.497193,74,359.0,3750-S,0.494157,52,2373.0,4575-S,0.486375,28,4438.0,6328-S
163-R,slovenija,2023-06-19,202306,['A. S.'],555,0.470575,61,4873.0,6379-S,0.44455,44,3478.0,5466-S,0.426536,50,711.0,3784-S
164-R,slovenija,2023-06-19,202306,['G. K.'],284,0.329465,44,4586.0,6355-S,0.319768,75,4942.0,6400-S,0.313113,51,2810.0,5436-S
